initial_list_status,purpose,int_rate,installment,annual_inc,dti,verification_status,grade,revol_bal,inq_last_12m,delinq_2yrs,home_ownership,log_inc,verified,grdCtoA,not_paid
w,credit_card,10.42,300.37,82000.0,18.41,Source Verified,B,17956,2,0,OWN,11.3144745262464,1,1,0
f,debt_consolidation,26.3,318.55,42500.0,31.8,Verified,E,8176,5,0,MORTGAGE,10.657259354912501,1,0,1
f,credit_card,10.91,163.49,60000.0,28.86,Source Verified,B,9629,4,0,MORTGAGE,11.002099841204199,1,1,0
w,debt_consolidation,20.0,490.14,60000.0,28.42,Verified,D,4938,2,1,MORTGAGE,11.002099841204199,1,0,0
w,debt_consolidation,19.03,660.09,45000.0,30.34,Source Verified,D,7968,2,0,OWN,10.714417768752499,1,0,1
w,major_purchase,16.02,851.51,455400.0,9.09,Source Verified,C,49282,6,0,RENT,13.028931432611802,1,0,1
w,small_business,11.99,66.42,63000.0,20.76,Not Verified,B,13112,0,0,RENT,11.0508900053737,0,1,1
w,debt_consolidation,12.62,485.92,85000.0,11.21,Not Verified,C,5452,2,0,MORTGAGE,11.3504065354725,0,0,0
w,debt_consolidation,10.91,549.3,70223.0,27.6,Source Verified,B,2143,2,0,OWN,11.1594311716808,1,1,0
f,debt_consolidation,12.62,167.56,36000.0,24.67,Verified,C,16682,2,0,OWN,10.4912742174382,1,0,1
f,debt_consolidation,9.44,208.04,17000.0,18.72,Source Verified,B,6488,0,0,MORTGAGE,9.740968623038349,1,1,1
w,debt_consolidation,9.44,320.05,110000.0,16.82,Source Verified,B,26675,4,0,MORTGAGE,11.608235644774599,1,1,1
w,debt_consolidation,18.06,201.72,35000.0,27.88,Source Verified,D,1137,0,0,RENT,10.4631033404715,1,0,1
w,debt_consolidation,20.0,741.83,130000.0,26.38,Verified,D,23861,3,0,MORTGAGE,11.775289729437699,1,0,0
w,credit_card,21.45,341.34,25000.0,10.42,Not Verified,D,2752,0,1,RENT,10.1266311038503,0,0,0
w,home_improvement,26.3,301.19,90000.0,15.49,Not Verified,E,13276,2,0,MORTGAGE,11.4075649493124,0,0,0
w,debt_consolidation,12.62,721.89,199000.0,10.47,Source Verified,C,15945,8,1,OWN,12.2010601037066,1,0,1
w,debt_consolidation,18.06,762.79,51866.0,21.33,Verified,D,45950,1,1,MORTGAGE,10.856418748505302,1,0,1
w,credit_card,20.0,1059.76,85000.0,24.79,Not Verified,D,33710,0,0,MORTGAGE,11.3504065354725,0,0,0
w,debt_consolidation,16.02,140.67,44000.0,26.6,Not Verified,C,5217,3,1,MORTGAGE,10.6919449129004,0,0,1
f,credit_card,21.45,379.07,275000.0,37.96,Source Verified,D,82115,1,0,RENT,12.5245263766487,1,0,1
w,debt_consolidation,9.93,848.51,180000.0,11.23,Not Verified,B,45626,2,0,RENT,12.100712129872301,0,1,0
w,debt_consolidation,9.44,179.23,42000.0,6.4,Source Verified,B,2385,4,0,MORTGAGE,10.6454248972655,1,1,0
w,major_purchase,18.06,437.33,42000.0,8.31,Verified,D,11812,0,0,RENT,10.6454248972655,1,0,1
w,debt_consolidation,10.42,680.64,75550.0,9.12,Verified,B,3581,1,0,MORTGAGE,11.232549967700901,1,1,0
w,debt_consolidation,6.08,974.67,110000.0,22.91,Source Verified,A,31773,5,0,RENT,11.608235644774599,1,1,0
w,debt_consolidation,5.32,451.73,63000.0,21.48,Source Verified,A,17365,0,0,MORTGAGE,11.0508900053737,1,1,0
w,debt_consolidation,29.69,642.47,62540.0,54.95,Verified,F,25200,0,0,MORTGAGE,11.043561631011801,1,0,1
w,debt_consolidation,23.88,688.77,85666.0,20.86,Source Verified,E,21022,3,0,MORTGAGE,11.358211293077801,1,0,1
w,debt_consolidation,21.45,113.72,38824.0,12.38,Verified,D,2564,1,1,MORTGAGE,10.5667938910851,1,0,0
w,debt_consolidation,20.0,260.15,48407.0,17.16,Source Verified,D,9276,3,0,RENT,10.7873997103463,1,0,1
f,debt_consolidation,13.59,271.84,58000.0,8.36,Source Verified,C,9293,0,2,OWN,10.9681982895286,1,0,1
w,small_business,11.99,498.15,80000.0,17.24,Source Verified,B,7335,1,1,RENT,11.289781913656,1,1,0
w,credit_card,15.05,901.94,75341.0,28.1,Source Verified,C,18084,1,1,MORTGAGE,11.2297797543196,1,0,1
f,credit_card,11.99,199.26,42000.0,15.09,Not Verified,B,2652,6,0,RENT,10.6454248972655,0,1,0
f,debt_consolidation,11.99,1162.34,150000.0,17.66,Verified,B,33299,3,0,MORTGAGE,11.918390573078401,1,1,1
w,debt_consolidation,7.97,313.23,50000.0,23.37,Source Verified,A,2101,0,2,OWN,10.819778284410301,1,1,0
w,debt_consolidation,19.03,622.97,123000.0,13.86,Source Verified,D,6528,4,0,RENT,11.7199396343546,1,0,0
w,debt_consolidation,12.62,552.94,98600.0,13.81,Source Verified,C,75545,4,0,OWN,11.498826540590699,1,0,0
w,debt_consolidation,23.88,344.39,45000.0,16.88,Source Verified,E,12128,3,0,OWN,10.714417768752499,1,0,1
w,debt_consolidation,16.02,535.24,52000.0,32.63,Not Verified,C,13622,0,0,RENT,10.858998997563601,0,0,1
w,small_business,17.09,298.82,60000.0,0.5,Source Verified,D,2160,0,1,OWN,11.002099841204199,1,0,1
w,debt_consolidation,20.0,317.93,49000.0,32.33,Not Verified,D,10209,2,0,MORTGAGE,10.799575577092801,0,0,0
w,home_improvement,7.21,130.09,31000.0,0.97,Verified,A,173,1,0,MORTGAGE,10.341742483467302,1,1,0
w,credit_card,9.44,448.07,65000.0,8.03,Source Verified,B,14283,1,0,RENT,11.082142548877801,1,1,0
w,home_improvement,15.05,693.8,51000.0,17.84,Not Verified,C,10685,2,0,MORTGAGE,10.8395809117065,0,0,0
f,debt_consolidation,11.99,498.15,55000.0,26.55,Source Verified,B,16278,0,0,RENT,10.9150884642146,1,1,1
w,debt_consolidation,12.62,270.71,60000.0,6.52,Verified,C,4822,7,0,MORTGAGE,11.002099841204199,1,0,0
w,debt_consolidation,16.02,140.67,50000.0,18.48,Source Verified,C,8245,2,0,RENT,10.819778284410301,1,0,0
w,debt_consolidation,10.91,326.97,50000.0,13.03,Source Verified,B,508,1,0,MORTGAGE,10.819778284410301,1,1,1
f,home_improvement,9.44,160.03,75000.0,8.43,Not Verified,B,951,2,0,MORTGAGE,11.2252433925184,0,1,0
f,debt_consolidation,9.44,256.04,60000.0,10.38,Not Verified,B,10827,0,0,MORTGAGE,11.002099841204199,0,1,0
w,debt_consolidation,12.62,268.09,90000.0,23.68,Source Verified,C,15651,6,0,RENT,11.4075649493124,1,0,0
w,debt_consolidation,15.05,209.01,44160.0,19.51,Source Verified,C,7423,0,0,RENT,10.695574680951001,1,0,1
f,debt_consolidation,23.88,846.07,48000.0,31.25,Verified,E,166349,3,0,OWN,10.778956289889999,1,0,1
w,debt_consolidation,14.08,444.82,70000.0,16.25,Verified,C,6198,3,0,RENT,11.156250521031499,1,0,1
w,debt_consolidation,6.72,147.6,98000.0,2.61,Not Verified,A,3368,3,0,RENT,11.4927227576527,0,1,0
f,debt_consolidation,12.62,160.86,35000.0,16.32,Source Verified,C,2788,2,0,MORTGAGE,10.4631033404715,1,0,1
w,credit_card,7.21,92.92,95000.0,11.52,Not Verified,A,2990,0,0,MORTGAGE,11.4616321705827,0,1,0
w,debt_consolidation,19.03,648.93,63000.0,16.31,Source Verified,D,17849,3,1,MORTGAGE,11.0508900053737,1,0,1
f,credit_card,16.02,458.05,60000.0,2.1,Source Verified,C,2227,7,0,RENT,11.002099841204199,1,0,0
w,debt_consolidation,16.02,267.27,46000.0,12.42,Source Verified,C,21236,0,0,RENT,10.7363966754712,1,0,0
w,credit_card,17.09,107.1,30000.0,29.8,Verified,D,8815,0,0,MORTGAGE,10.308952660644302,1,0,1
w,debt_consolidation,15.05,571.59,79000.0,14.43,Verified,C,15534,4,0,RENT,11.277203131449198,1,0,1
w,debt_consolidation,14.08,489.51,95000.0,10.55,Source Verified,C,3676,3,0,OWN,11.4616321705827,1,0,1
w,debt_consolidation,15.05,194.27,125000.0,22.81,Not Verified,C,36863,4,0,OWN,11.736069016284402,0,0,1
w,debt_consolidation,12.62,361.93,57358.0,18.75,Source Verified,C,8230,3,1,MORTGAGE,10.957067607162099,1,0,0
f,debt_consolidation,15.05,762.12,89943.0,12.94,Verified,C,13893,3,0,RENT,11.4069314153388,1,0,1
w,home_improvement,11.99,778.38,191000.0,5.86,Verified,B,3720,3,0,MORTGAGE,12.160028707028802,1,1,0
w,credit_card,15.05,520.35,36000.0,20.57,Source Verified,C,19609,2,0,OWN,10.4912742174382,1,0,1
f,debt_consolidation,21.45,576.18,125000.0,19.46,Not Verified,D,1287,2,1,RENT,11.736069016284402,0,0,1
w,debt_consolidation,5.32,301.15,165000.0,11.0,Not Verified,A,16924,0,0,RENT,12.0137007528827,0,1,0
w,debt_consolidation,20.0,662.35,70000.0,9.34,Verified,D,21096,2,0,RENT,11.156250521031499,1,0,1
w,debt_consolidation,13.59,276.68,42999.0,12.76,Verified,C,1819,7,0,RENT,10.6689321385913,1,0,1
f,debt_consolidation,11.99,132.84,44000.0,12.03,Source Verified,B,2699,1,0,OWN,10.6919449129004,1,1,0
w,debt_consolidation,13.59,220.87,55000.0,20.84,Verified,C,7712,4,0,MORTGAGE,10.9150884642146,1,0,1
f,credit_card,18.06,289.47,58000.0,8.3,Not Verified,D,4722,1,1,RENT,10.9681982895286,0,0,1
f,credit_card,19.03,366.72,54000.0,19.8,Verified,D,13673,4,1,RENT,10.8967393255464,1,0,1
f,debt_consolidation,22.91,126.63,29000.0,18.17,Not Verified,E,6705,2,7,MORTGAGE,10.2750511089686,0,0,1
w,credit_card,21.45,819.22,85000.0,15.59,Source Verified,D,33863,0,1,RENT,11.3504065354725,1,0,0
f,debt_consolidation,24.85,158.73,64000.0,16.58,Source Verified,E,3487,3,1,MORTGAGE,11.0666383623418,1,0,1
w,debt_consolidation,14.08,311.38,22800.0,19.74,Verified,C,16022,0,0,MORTGAGE,10.0345158149425,1,0,0
w,credit_card,10.42,324.65,66000.0,34.49,Source Verified,B,22903,1,0,MORTGAGE,11.0974100210086,1,1,1
w,debt_consolidation,28.72,1105.01,155000.0,15.08,Source Verified,F,43229,3,0,MORTGAGE,11.951180395901401,1,0,0
w,debt_consolidation,19.03,366.72,30000.0,15.04,Verified,D,12812,0,0,MORTGAGE,10.308952660644302,1,0,1
w,credit_card,15.05,238.17,70000.0,24.79,Verified,C,10481,5,1,MORTGAGE,11.156250521031499,1,0,0
w,home_improvement,10.42,97.4,28000.0,21.0,Source Verified,B,332,2,0,RENT,10.239959789157302,1,1,1
w,debt_consolidation,10.42,389.58,110000.0,19.38,Not Verified,B,16486,1,0,MORTGAGE,11.608235644774599,0,1,0
w,credit_card,9.93,80.59,89000.0,14.71,Source Verified,B,1435,8,0,MORTGAGE,11.396391648714301,1,1,0
f,debt_consolidation,16.02,158.26,45000.0,16.69,Verified,C,6143,7,0,RENT,10.714417768752499,1,0,1
w,debt_consolidation,10.42,973.95,120227.0,12.14,Source Verified,B,20203,0,0,RENT,11.6971369014826,1,1,0
f,credit_card,30.89,1502.92,100000.0,8.99,Verified,G,31276,1,0,RENT,11.5129254649702,1,0,1
w,debt_consolidation,9.93,77.37,20000.0,22.15,Not Verified,B,3179,0,0,RENT,9.90348755253613,0,1,0
w,credit_card,14.08,582.75,300000.0,8.95,Source Verified,C,23400,0,1,MORTGAGE,12.6115377536383,1,0,1
w,debt_consolidation,12.62,225.6,15000.0,12.8,Verified,C,4312,0,0,RENT,9.61580548008435,1,0,1
w,debt_consolidation,7.35,297.96,50000.0,42.99,Verified,A,12072,4,0,OWN,10.819778284410301,1,1,1
w,debt_consolidation,10.42,858.18,120000.0,13.94,Verified,B,17553,0,0,OWN,11.6952470217642,1,1,1
w,debt_consolidation,10.42,146.1,35000.0,15.57,Source Verified,B,1876,2,0,RENT,10.4631033404715,1,1,1
w,debt_consolidation,7.35,260.72,79000.0,8.84,Source Verified,A,1003,7,0,MORTGAGE,11.277203131449198,1,1,1
w,credit_card,9.44,320.05,175000.0,15.13,Not Verified,B,21326,7,0,MORTGAGE,12.072541252905701,0,1,0
w,debt_consolidation,20.0,688.85,52000.0,19.35,Verified,D,3183,4,0,RENT,10.858998997563601,1,0,0
f,debt_consolidation,22.91,212.65,24000.0,115.85,Verified,E,63644,1,1,OWN,10.0858091093301,1,0,1
w,debt_consolidation,23.88,940.08,60000.0,20.66,Not Verified,E,25621,3,0,MORTGAGE,11.002099841204199,0,0,0
w,debt_consolidation,7.21,371.68,100000.0,6.61,Source Verified,A,1459,3,0,MORTGAGE,11.5129254649702,1,1,0
w,home_improvement,7.97,46.99,110000.0,11.69,Not Verified,A,489,2,1,OWN,11.608235644774599,0,1,0
f,credit_card,15.05,485.66,50000.0,12.22,Source Verified,C,8535,3,0,RENT,10.819778284410301,1,0,0
w,debt_consolidation,5.32,90.35,22000.0,19.75,Verified,A,4755,0,0,RENT,9.99879773234045,1,1,0
w,debt_consolidation,7.35,186.23,80000.0,17.45,Not Verified,A,7902,2,0,RENT,11.289781913656,0,1,1
f,debt_consolidation,16.02,1230.85,50000.0,6.53,Source Verified,C,12201,0,0,MORTGAGE,10.819778284410301,1,0,1
f,debt_consolidation,12.62,360.95,96000.0,26.06,Verified,C,22150,1,1,MORTGAGE,11.472103470450001,1,0,1
w,debt_consolidation,5.32,301.15,100000.0,8.7,Source Verified,A,8385,3,0,MORTGAGE,11.5129254649702,1,1,0
w,credit_card,9.93,96.71,30000.0,14.84,Not Verified,B,8531,0,0,MORTGAGE,10.308952660644302,0,1,1
w,debt_consolidation,12.62,177.61,19800.0,24.55,Not Verified,C,573,0,0,RENT,9.893437216682631,0,0,1
f,debt_consolidation,19.03,733.43,50000.0,24.17,Verified,D,23900,2,0,MORTGAGE,10.819778284410301,1,0,1
w,debt_consolidation,20.0,267.58,38000.0,14.85,Source Verified,D,1593,1,0,RENT,10.5453414387085,1,0,0
w,home_improvement,6.72,246.0,70000.0,10.9,Not Verified,A,10908,0,0,MORTGAGE,11.156250521031499,0,1,0
w,credit_card,12.62,248.15,28000.0,13.16,Verified,C,11703,3,0,MORTGAGE,10.239959789157302,1,0,1
w,debt_consolidation,15.05,693.8,70000.0,26.35,Source Verified,C,20903,0,0,RENT,11.156250521031499,1,0,1
w,debt_consolidation,7.07,432.73,40000.0,30.78,Not Verified,A,21363,1,0,MORTGAGE,10.5966347330961,0,1,1
w,debt_consolidation,6.08,258.9,68000.0,3.31,Not Verified,A,6244,2,0,MORTGAGE,11.127262984158198,0,1,1
w,credit_card,6.72,307.5,64398.0,9.36,Source Verified,A,6724,3,1,RENT,11.0728378557096,1,1,0
w,debt_consolidation,9.44,480.08,50000.0,5.98,Source Verified,B,2744,1,0,RENT,10.819778284410301,1,1,1
w,debt_consolidation,7.97,493.33,75000.0,19.9,Not Verified,A,13417,2,1,MORTGAGE,11.2252433925184,0,1,1
f,debt_consolidation,19.03,366.72,55000.0,28.71,Source Verified,D,14521,10,0,MORTGAGE,10.9150884642146,1,0,1
f,small_business,16.02,175.84,23000.0,5.43,Source Verified,C,9,2,0,RENT,10.0432494949113,1,0,1
f,debt_consolidation,26.3,373.16,120000.0,37.18,Source Verified,E,8497,2,0,MORTGAGE,11.6952470217642,1,0,1
f,debt_consolidation,7.97,413.46,36000.0,13.9,Verified,A,3245,2,0,MORTGAGE,10.4912742174382,1,1,1
w,debt_consolidation,22.91,984.86,94000.0,15.56,Verified,E,8246,3,2,MORTGAGE,11.4510500612521,1,0,1
w,debt_consolidation,9.93,128.94,60000.0,18.36,Not Verified,B,3999,3,0,MORTGAGE,11.002099841204199,0,1,0
w,debt_consolidation,18.06,289.47,65000.0,12.74,Source Verified,D,13362,2,0,MORTGAGE,11.082142548877801,1,0,1
w,debt_consolidation,7.35,279.34,41000.0,28.45,Not Verified,A,2985,3,0,MORTGAGE,10.6213273456864,0,1,0
f,debt_consolidation,28.72,179.55,14397.0,27.27,Verified,F,11117,0,0,RENT,9.57477513052635,1,0,0
w,debt_consolidation,19.03,726.8,70000.0,22.29,Not Verified,D,25630,4,2,MORTGAGE,11.156250521031499,0,0,0
w,credit_card,9.93,424.26,70000.0,13.53,Not Verified,B,23151,1,0,MORTGAGE,11.156250521031499,0,1,0
w,debt_consolidation,18.06,284.78,35000.0,36.56,Verified,D,956,14,0,RENT,10.4631033404715,1,0,0
w,debt_consolidation,14.08,855.42,89000.0,41.76,Verified,C,14672,3,0,RENT,11.396391648714301,1,0,1
w,debt_consolidation,23.88,430.48,44870.0,40.79,Verified,E,3514,2,0,MORTGAGE,10.711524698969999,1,0,0
w,debt_consolidation,16.02,175.84,47000.0,17.22,Source Verified,C,4,4,0,RENT,10.757902880692198,1,0,1
w,debt_consolidation,21.45,611.68,60000.0,10.92,Source Verified,D,4053,1,0,RENT,11.002099841204199,1,0,1
w,credit_card,21.45,327.69,161900.0,31.47,Not Verified,D,54934,1,0,MORTGAGE,11.994734139665699,0,0,0
f,home_improvement,15.05,346.9,115000.0,24.71,Not Verified,C,16205,7,1,RENT,11.6526874073454,0,0,1
w,debt_consolidation,13.59,849.48,145000.0,9.81,Source Verified,C,22319,0,0,MORTGAGE,11.8844890214027,1,0,1
w,debt_consolidation,19.03,700.85,100000.0,9.61,Verified,D,7307,2,0,MORTGAGE,11.5129254649702,1,0,1
f,debt_consolidation,19.03,1283.5,85000.0,22.0,Verified,D,16377,1,0,RENT,11.3504065354725,1,0,1
f,debt_consolidation,10.42,324.65,92000.0,9.95,Not Verified,B,4491,1,1,MORTGAGE,11.429543856031199,0,1,0
w,debt_consolidation,10.42,324.65,89161.0,13.19,Source Verified,B,20545,2,3,MORTGAGE,11.3981990032287,1,1,1
w,debt_consolidation,14.08,792.54,92300.0,9.5,Verified,C,19882,1,0,MORTGAGE,11.432799420490902,1,0,1
w,home_improvement,9.44,629.18,90000.0,7.44,Verified,B,5646,1,0,MORTGAGE,11.4075649493124,1,1,0
w,major_purchase,14.08,342.17,65000.0,2.22,Verified,C,1409,10,0,MORTGAGE,11.082142548877801,1,0,0
w,debt_consolidation,14.08,328.48,88000.0,7.26,Verified,C,6964,0,2,RENT,11.3850920934603,1,0,0
w,debt_consolidation,14.08,279.72,35000.0,18.37,Source Verified,C,50162,1,1,MORTGAGE,10.4631033404715,1,0,0
w,debt_consolidation,16.02,588.17,62000.0,23.09,Not Verified,C,6318,0,0,OWN,11.0348896640272,0,0,1
w,debt_consolidation,16.02,337.61,30000.0,9.07,Source Verified,C,6423,1,0,RENT,10.308952660644302,1,0,1
w,debt_consolidation,21.45,254.93,80000.0,12.89,Source Verified,D,12966,1,2,MORTGAGE,11.289781913656,1,0,1
w,debt_consolidation,20.0,529.88,100000.0,10.18,Source Verified,D,8853,8,0,MORTGAGE,11.5129254649702,1,0,1
w,debt_consolidation,11.99,232.47,75000.0,7.04,Not Verified,B,6841,0,0,RENT,11.2252433925184,0,1,1
w,debt_consolidation,21.45,655.38,100000.0,3.52,Not Verified,D,18,6,0,RENT,11.5129254649702,0,0,1
w,credit_card,7.97,563.81,85000.0,15.22,Not Verified,A,5527,0,2,MORTGAGE,11.3504065354725,0,1,0
w,major_purchase,14.08,559.44,38500.0,26.31,Verified,C,1010,2,0,RENT,10.5584135202759,1,0,1
w,credit_card,7.97,75.18,52000.0,18.76,Source Verified,A,0,1,0,RENT,10.858998997563601,1,1,0
w,credit_card,24.85,585.27,87000.0,17.85,Verified,E,10847,2,0,MORTGAGE,11.3736633976367,1,0,1
f,debt_consolidation,17.09,49.98,60000.0,16.78,Source Verified,D,9923,2,0,RENT,11.002099841204199,1,0,0
f,debt_consolidation,14.08,205.3,20000.0,26.35,Verified,C,9964,3,0,MORTGAGE,9.90348755253613,1,0,0
w,credit_card,19.03,183.36,62000.0,4.12,Not Verified,D,7493,1,0,RENT,11.0348896640272,0,0,0
w,debt_consolidation,13.59,424.74,55000.0,20.39,Not Verified,C,11809,0,0,RENT,10.9150884642146,0,0,0
w,home_improvement,7.97,313.23,125000.0,34.29,Verified,A,35252,2,0,MORTGAGE,11.736069016284402,1,1,1
w,major_purchase,5.32,180.69,69000.0,10.91,Not Verified,A,5517,2,0,MORTGAGE,11.1418617835794,0,1,0
w,debt_consolidation,10.91,653.93,115000.0,19.02,Not Verified,B,31777,0,0,RENT,11.6526874073454,0,1,1
w,credit_card,10.42,480.58,100000.0,35.22,Source Verified,B,26342,6,0,RENT,11.5129254649702,1,1,1
w,credit_card,26.3,783.08,950000.0,9.57,Verified,E,142420,4,0,MORTGAGE,13.764217263576699,1,0,0
f,credit_card,19.03,264.04,20000.0,32.89,Not Verified,D,12842,3,0,RENT,9.90348755253613,0,0,1
w,debt_consolidation,7.97,1252.91,140000.0,3.23,Source Verified,A,5178,0,1,RENT,11.849397701591402,1,1,1
f,credit_card,10.91,228.88,20000.0,27.46,Verified,B,6044,0,0,RENT,9.90348755253613,1,1,1
w,credit_card,30.79,569.78,63730.0,24.9,Verified,G,14991,5,0,RENT,11.0624106883083,1,0,0
w,debt_consolidation,29.69,482.45,27560.0,28.22,Source Verified,F,3338,5,1,MORTGAGE,10.2241207251276,1,0,1
w,credit_card,9.93,322.35,35000.0,19.07,Not Verified,B,13886,3,0,RENT,10.4631033404715,0,1,1
w,debt_consolidation,24.85,526.75,60300.0,35.94,Source Verified,E,56089,0,1,MORTGAGE,11.007087382715302,1,0,0
w,debt_consolidation,14.08,342.17,39600.0,2.12,Verified,C,1406,2,2,MORTGAGE,10.5865843972426,1,0,0
w,home_improvement,15.05,277.52,18000.0,17.53,Verified,C,14951,1,0,MORTGAGE,9.7981270368783,1,0,1
w,debt_consolidation,26.3,1415.78,155000.0,23.22,Verified,E,27887,2,0,OWN,11.951180395901401,1,0,0
w,debt_consolidation,16.02,351.67,60000.0,8.74,Not Verified,C,0,8,1,MORTGAGE,11.002099841204199,0,0,0
w,home_improvement,10.42,214.55,60000.0,2.38,Not Verified,B,4705,2,0,OWN,11.002099841204199,0,1,0
w,major_purchase,13.59,67.96,90000.0,7.95,Source Verified,C,5448,4,0,MORTGAGE,11.4075649493124,1,0,0
f,debt_consolidation,22.91,773.26,80000.0,26.43,Not Verified,E,14036,1,1,RENT,11.289781913656,0,0,1
w,credit_card,10.91,238.68,70000.0,17.32,Verified,B,34649,1,1,RENT,11.156250521031499,1,1,1
w,debt_consolidation,15.05,500.14,182000.0,8.43,Source Verified,C,17156,1,0,RENT,12.1117619660589,1,0,0
w,debt_consolidation,9.44,192.03,88000.0,7.13,Verified,B,1123,0,1,RENT,11.3850920934603,1,1,1
w,credit_card,11.99,664.2,70000.0,18.07,Not Verified,B,10294,2,1,RENT,11.156250521031499,0,1,1
f,debt_consolidation,15.05,693.8,40000.0,43.08,Verified,C,1592,10,0,MORTGAGE,10.5966347330961,1,0,1
w,debt_consolidation,30.65,1064.5,65000.0,18.11,Not Verified,F,0,0,1,OWN,11.082142548877801,0,0,1
w,credit_card,7.35,465.57,150000.0,27.02,Not Verified,A,26341,1,0,MORTGAGE,11.918390573078401,0,1,0
w,credit_card,9.44,128.02,75000.0,16.13,Source Verified,B,14681,4,0,MORTGAGE,11.2252433925184,1,1,0
w,debt_consolidation,19.03,308.04,60000.0,22.06,Not Verified,D,5500,1,0,RENT,11.002099841204199,0,0,0
w,debt_consolidation,7.35,273.13,70000.0,24.41,Not Verified,A,11567,1,0,RENT,11.156250521031499,0,1,0
w,debt_consolidation,9.93,322.35,78000.0,4.01,Source Verified,B,2630,2,1,MORTGAGE,11.2644641056717,1,1,0
f,home_improvement,9.93,580.22,40000.0,18.66,Verified,B,9952,0,0,MORTGAGE,10.5966347330961,1,1,1
w,debt_consolidation,11.99,889.58,200000.0,13.01,Source Verified,B,10763,0,0,RENT,12.2060726455302,1,1,1
f,debt_consolidation,21.45,379.07,38000.0,9.82,Not Verified,D,10081,1,0,RENT,10.5453414387085,0,0,0
w,debt_consolidation,16.02,267.62,100000.0,6.64,Source Verified,C,8239,9,0,MORTGAGE,11.5129254649702,1,0,1
w,debt_consolidation,9.44,512.08,90000.0,15.59,Not Verified,B,20137,3,1,MORTGAGE,11.4075649493124,0,1,1
f,debt_consolidation,18.06,253.28,24000.0,23.9,Source Verified,D,1635,16,0,OWN,10.0858091093301,1,0,1
f,debt_consolidation,13.59,407.75,65000.0,17.49,Not Verified,C,22889,1,0,OWN,11.082142548877801,0,0,0
w,debt_consolidation,6.08,1218.33,69400.0,12.52,Not Verified,A,10413,2,1,MORTGAGE,11.147642146494901,0,1,1
w,debt_consolidation,11.99,338.74,88000.0,14.73,Not Verified,B,24406,0,1,RENT,11.3850920934603,0,1,0
w,credit_card,15.05,357.25,80000.0,27.27,Verified,C,12466,2,0,MORTGAGE,11.289781913656,1,0,0
w,debt_consolidation,28.72,353.61,47000.0,11.13,Verified,F,197,4,0,MORTGAGE,10.757902880692198,1,0,1
w,home_improvement,19.03,1100.14,83000.0,16.38,Verified,D,11826,5,1,MORTGAGE,11.3265958867787,1,0,0
w,debt_consolidation,23.88,1147.94,130000.0,33.71,Verified,E,19655,1,0,OWN,11.775289729437699,1,0,1
w,debt_consolidation,9.44,367.02,100000.0,4.03,Not Verified,B,5955,2,0,MORTGAGE,11.5129254649702,0,1,0
f,credit_card,14.08,821.2,135000.0,34.16,Verified,C,74529,1,0,MORTGAGE,11.8130300574206,1,0,1
w,credit_card,5.32,52.71,158000.0,11.23,Not Verified,A,3943,3,0,RENT,11.9703503120091,0,1,0
f,debt_consolidation,9.93,96.71,80000.0,1.19,Not Verified,B,3529,3,0,RENT,11.289781913656,0,1,0
f,debt_consolidation,16.02,1055.01,70000.0,19.19,Verified,C,23924,1,0,MORTGAGE,11.156250521031499,1,0,1
w,debt_consolidation,12.62,120.65,62000.0,30.66,Source Verified,C,2194,2,0,RENT,11.0348896640272,1,0,1
w,major_purchase,15.05,1144.77,210000.0,2.09,Source Verified,C,2191,5,0,RENT,12.254862809699599,1,0,0
w,credit_card,5.32,752.87,135000.0,15.63,Source Verified,A,14524,7,4,MORTGAGE,11.8130300574206,1,1,0
f,small_business,26.3,344.85,60000.0,10.76,Source Verified,E,1459,8,0,RENT,11.002099841204199,1,0,1
w,debt_consolidation,18.06,508.53,39000.0,8.0,Not Verified,D,6310,3,1,MORTGAGE,10.5713169251118,0,0,1
w,debt_consolidation,10.91,179.83,27000.0,36.98,Not Verified,B,5732,0,0,RENT,10.2035921449865,0,1,1
w,home_improvement,7.21,247.79,12000.0,163.15,Source Verified,A,27398,0,0,MORTGAGE,9.39266192877014,1,1,0
w,debt_consolidation,10.91,49.05,30000.0,6.34,Not Verified,B,1899,2,0,RENT,10.308952660644302,0,1,1
f,debt_consolidation,7.97,375.88,220000.0,3.06,Not Verified,A,844,1,0,MORTGAGE,12.3013828253345,0,1,0
w,home_improvement,11.99,222.4,78000.0,11.65,Not Verified,B,14208,5,0,MORTGAGE,11.2644641056717,0,1,0
w,major_purchase,7.35,248.3,78000.0,23.52,Not Verified,A,33202,4,0,RENT,11.2644641056717,0,1,0
w,small_business,26.3,1054.15,3000.0,107.6,Verified,E,5739,6,0,MORTGAGE,8.00636756765025,1,0,0
w,debt_consolidation,15.05,173.45,58280.0,11.61,Not Verified,C,9331,5,0,RENT,10.9730142603091,0,0,0
w,debt_consolidation,11.99,398.52,55000.0,15.99,Source Verified,B,754,1,1,RENT,10.9150884642146,1,1,0
w,debt_consolidation,13.59,61.17,44000.0,5.51,Source Verified,C,732,8,0,RENT,10.6919449129004,1,0,0
w,debt_consolidation,26.3,903.55,67000.0,25.06,Not Verified,E,17026,4,0,MORTGAGE,11.1124478983731,0,0,1
f,credit_card,19.03,410.72,95680.0,12.47,Source Verified,D,8567,10,1,OWN,11.4687645691845,1,0,1
